Name,Brand,Model,Year,Kms_Driven,Owner,Fuel,Drive,Type,Price
Maruti S PRESSO,MARUTI,S PRESSO,2022,3878,1,PETROL,MANUAL,HATCHBACK,514000
Hyundai Xcent,HYUNDAI,XCENT,2018,32041,1,PETROL,MANUAL,SEDAN,674000
Tata Safari,TATA,OTHER,2021,96339,1,DIESEL,AUTOMATIC,SUV,1952000
Maruti Vitara Brezza,MARUTI,VITARA BREZZA,2019,51718,1,DIESEL,MANUAL,SUV,690000
Tata Tiago,TATA,TIAGO,2021,19811,1,PETROL,MANUAL,HATCHBACK,526000
Maruti Swift,MARUTI,SWIFT,2017,70129,1,PETROL,MANUAL,HATCHBACK,552000
Hyundai i20,HYUNDAI,I20,2012,103781,1,PETROL,MANUAL,HATCHBACK,278000
Renault Kwid,RENAULT,KWID,2021,31945,2,PETROL,AUTOMATIC,HATCHBACK,518000
Hyundai Grand i10,HYUNDAI,GRAND I10,2015,39950,1,PETROL,MANUAL,HATCHBACK,443000
Maruti Swift,MARUTI,SWIFT,2018,56697,1,DIESEL,AUTOMATIC,HATCHBACK,710350
Maruti IGNIS,MARUTI,IGNIS,2018,38184,2,CNG,AUTOMATIC,HATCHBACK,548000
Maruti S PRESSO,MARUTI,S PRESSO,2019,30347,1,PETROL,AUTOMATIC,HATCHBACK,481000
Honda Brio,HONDA,BRIO,2012,42375,2,PETROL,MANUAL,HATCHBACK,312000
Hyundai Elite i20,HYUNDAI,ELITE I20,2019,47231,1,PETROL,MANUAL,HATCHBACK,613000
Honda City,HONDA,CITY,2014,111577,1,PETROL,MANUAL,SEDAN,503000
Maruti Baleno,MARUTI,BALENO,2018,60042,1,PETROL,MANUAL,HATCHBACK,614000
Honda WR-V,HONDA,WR V,2017,93518,1,DIESEL,MANUAL,SUV,693000
Honda Amaze,HONDA,AMAZE,2019,33245,1,PETROL,MANUAL,SEDAN,439000
Maruti Alto 800,MARUTI,ALTO 800,2016,43717,1,PETROL,MANUAL,HATCHBACK,294000
Maruti Celerio,MARUTI,CELERIO,2021,1863,1,PETROL,AUTOMATIC,HATCHBACK,716000
Ford Ecosport,FORD,ECOSPORT,2019,50078,1,PETROL,MANUAL,SUV,836000
Maruti Ciaz,MARUTI,CIAZ,2018,63856,1,PETROL,MANUAL,SEDAN,794000
Renault Kwid,RENAULT,KWID,2018,72337,1,PETROL,MANUAL,HATCHBACK,324000
Maruti Swift,MARUTI,SWIFT,2021,14567,1,PETROL,MANUAL,HATCHBACK,678000
Hyundai Elite i20,HYUNDAI,ELITE I20,2018,36778,1,CNG,MANUAL,HATCHBACK,587000
Hyundai Elite i20,HYUNDAI,ELITE I20,2015,50419,1,PETROL,MANUAL,HATCHBACK,474000
Honda City,HONDA,CITY,2010,45257,1,DIESEL,MANUAL,SEDAN,608000
Maruti Swift,MARUTI,SWIFT,2016,40368,1,PETROL,MANUAL,HATCHBACK,477000
Datsun Redi Go,DATSUN,REDI GO,2016,37488,1,PETROL,MANUAL,HATCHBACK,205000
Tata TIAGO NRG,TATA,OTHER,2019,43253,1,PETROL,MANUAL,HATCHBACK,574000
Renault Kwid,RENAULT,KWID,2022,6587,1,PETROL,MANUAL,HATCHBACK,572000
Honda Amaze,HONDA,AMAZE,2019,37566,2,PETROL,MANUAL,SEDAN,635000
Hyundai Santro Xing,HYUNDAI,SANTRO XING,2011,33952,2,PETROL,MANUAL,HATCHBACK,169000
Ford FREESTYLE,FORD,FREESTYLE,2018,31679,1,PETROL,MANUAL,SUV,611000
Maruti Swift,MARUTI,SWIFT,2018,98221,2,CNG,MANUAL,HATCHBACK,558000
Maruti Baleno,MARUTI,BALENO,2016,45836,1,PETROL,MANUAL,HATCHBACK,520000
Honda Amaze,HONDA,AMAZE,2018,75883,1,CNG,MANUAL,SEDAN,483000
Maruti Dzire,MARUTI,DZIRE,2021,27480,1,PETROL,MANUAL,SEDAN,707000
Maruti Ciaz,MARUTI,CIAZ,2017,61250,1,DIESEL,MANUAL,SEDAN,796000
Maruti Alto,MARUTI,ALTO,2021,16516,1,CNG,MANUAL,HATCHBACK,483000
Hyundai NEW SANTRO,HYUNDAI,NEW SANTRO,2019,57656,1,CNG,MANUAL,HATCHBACK,482000
Maruti Baleno,MARUTI,BALENO,2017,33669,2,PETROL,AUTOMATIC,HATCHBACK,675000
Maruti Celerio,MARUTI,CELERIO,2018,124206,2,PETROL,MANUAL,HATCHBACK,373000
Maruti Alto 800,MARUTI,ALTO 800,2018,36722,1,PETROL,MANUAL,HATCHBACK,324000
Honda City,HONDA,CITY,2010,87722,1,DIESEL,MANUAL,SEDAN,448000
Maruti Celerio,MARUTI,CELERIO,2015,62663,2,PETROL,AUTOMATIC,HATCHBACK,377000
Honda WR-V,HONDA,WR V,2017,38022,1,PETROL,MANUAL,SUV,581000
Maruti Swift,MARUTI,SWIFT,2019,28956,1,PETROL,MANUAL,HATCHBACK,572000
Maruti Swift,MARUTI,SWIFT,2015,119106,2,PETROL,MANUAL,HATCHBACK,490000
Hyundai Grand i10,HYUNDAI,GRAND I10,2017,71686,1,PETROL,MANUAL,HATCHBACK,417000
Maruti Alto K10,MARUTI,ALTO K10,2017,45785,1,PETROL,MANUAL,HATCHBACK,347000
Ford Endeavour,FORD,OTHER,2019,94389,1,DIESEL,MANUAL,LUX_SUV,2192000
Maruti Ciaz,MARUTI,CIAZ,2017,30052,1,PETROL,MANUAL,SEDAN,570000
Honda Amaze,HONDA,AMAZE,2019,99520,1,PETROL,AUTOMATIC,SEDAN,326000
Maruti Swift Dzire,MARUTI,DZIRE,2013,69372,1,PETROL,AUTOMATIC,SEDAN,708000
Maruti Wagon R 1.0,MARUTI,WAGON R 1.0,2014,21799,1,PETROL,MANUAL,HATCHBACK,351000
Maruti Swift,MARUTI,SWIFT,2014,69045,1,PETROL,MANUAL,HATCHBACK,401000
Maruti Alto,MARUTI,ALTO,2020,26533,1,CNG,MANUAL,HATCHBACK,406000
Hyundai GRAND I10 NIOS,HYUNDAI,GRAND I10 NIOS,2020,44937,1,CNG,MANUAL,HATCHBACK,628000
Hyundai Grand i10,HYUNDAI,GRAND I10,2017,75370,1,PETROL,MANUAL,HATCHBACK,468000
Honda City,HONDA,CITY,2017,4756,1,PETROL,MANUAL,SEDAN,940000
Maruti Alto K10,MARUTI,ALTO K10,2012,39085,1,PETROL,MANUAL,HATCHBACK,208000
Maruti Celerio X,MARUTI,CELERIO X,2018,32891,1,PETROL,AUTOMATIC,HATCHBACK,595000
Hyundai Grand i10,HYUNDAI,GRAND I10,2017,35775,1,PETROL,MANUAL,HATCHBACK,515000
Toyota URBAN CRUISER,TOYOTA,OTHER,2021,37618,1,PETROL,AUTOMATIC,SUV,1010000
Ford Ecosport,FORD,ECOSPORT,2015,67486,3,PETROL,AUTOMATIC,SUV,505000
Hyundai Grand i10,HYUNDAI,GRAND I10,2018,15290,2,PETROL,MANUAL,HATCHBACK,469000
Honda Amaze,HONDA,AMAZE,2017,97313,2,PETROL,MANUAL,SEDAN,401000
Mahindra XUV500,MAHINDRA,XUV500,2018,105290,1,DIESEL,MANUAL,LUX_SUV,1222000
Hyundai Elite i20,HYUNDAI,ELITE I20,2014,65354,1,PETROL,MANUAL,HATCHBACK,523000
Hyundai Verna,HYUNDAI,VERNA,2017,28991,1,PETROL,MANUAL,SEDAN,714000
Honda WR-V,HONDA,WR V,2019,72139,1,CNG,MANUAL,SUV,772000
Maruti Alto,MARUTI,ALTO,2022,8502,1,CNG,MANUAL,HATCHBACK,528000
Maruti Alto K10,MARUTI,ALTO K10,2018,48617,1,PETROL,MANUAL,HATCHBACK,365000
Maruti Swift Dzire,MARUTI,DZIRE,2015,106877,1,PETROL,MANUAL,SEDAN,224000
Hyundai VENUE,HYUNDAI,VENUE,2019,50050,1,PETROL,AUTOMATIC,SUV,897000
Tata NEXON,TATA,NEXON,2017,69430,1,PETROL,MANUAL,SUV,707000
Maruti Baleno,MARUTI,BALENO,2016,68815,1,PETROL,AUTOMATIC,HATCHBACK,584000
Maruti Baleno,MARUTI,BALENO,2016,64759,1,PETROL,MANUAL,HATCHBACK,545000
Maruti Wagon R 1.0,MARUTI,WAGON R 1.0,2016,40417,1,PETROL,AUTOMATIC,HATCHBACK,401000
Maruti Baleno,MARUTI,BALENO,2018,68101,1,PETROL,MANUAL,HATCHBACK,691000
Honda City,HONDA,CITY,2019,64853,2,PETROL,MANUAL,SEDAN,338000
Mahindra KUV 100 NXT,MAHINDRA,OTHER,2017,51642,1,DIESEL,MANUAL,SUV,507000
Maruti Alto K10,MARUTI,ALTO K10,2018,24502,2,PETROL,MANUAL,HATCHBACK,293000
Hyundai Elite i20,HYUNDAI,ELITE I20,2016,60350,1,PETROL,MANUAL,HATCHBACK,629000
Maruti Alto 800,MARUTI,ALTO 800,2014,71000,2,PETROL,MANUAL,HATCHBACK,234000
Toyota YARIS,TOYOTA,YARIS,2021,66161,2,PETROL,MANUAL,SEDAN,662000
Maruti Wagon R 1.0,MARUTI,WAGON R 1.0,2015,64154,1,PETROL,MANUAL,HATCHBACK,325000
Mahindra XUV 3OO,MAHINDRA,XUV 3OO,2020,21270,1,DIESEL,AUTOMATIC,SUV,1064000
Hyundai Santro Xing,HYUNDAI,SANTRO XING,2010,90382,2,PETROL,MANUAL,HATCHBACK,205000
Honda City,HONDA,CITY,2018,49423,1,PETROL,MANUAL,SEDAN,810000
Hyundai Elite i20,HYUNDAI,ELITE I20,2016,47227,1,PETROL,MANUAL,HATCHBACK,588000
Renault TRIBER,RENAULT,TRIBER,2021,24236,1,PETROL,MANUAL,SUV,677000
Hyundai Tucson New,HYUNDAI,OTHER,2018,86933,2,PETROL,MANUAL,LUX_SUV,1221000
Mahindra TUV300,MAHINDRA,OTHER,2017,58157,1,DIESEL,MANUAL,SUV,817000
Toyota Glanza,TOYOTA,OTHER,2020,35636,1,PETROL,AUTOMATIC,HATCHBACK,809000
Maruti Ciaz,MARUTI,CIAZ,2017,45639,2,PETROL,MANUAL,SEDAN,428000
Honda City,HONDA,CITY,2016,53355,1,PETROL,MANUAL,SEDAN,678000
Maruti Baleno,MARUTI,BALENO,2017,88993,1,PETROL,AUTOMATIC,HATCHBACK,619000
Maruti Eeco,MARUTI,OTHER,2022,2075,1,CNG,MANUAL,SUV,552000
Renault Duster,RENAULT,DUSTER,2014,59943,1,PETROL,MANUAL,SUV,446000
